Episode,AgentID,FinalX,FinalY,TotalReward,FoodCollected,CollisionCount,EpisodeLength,RandomActions,GreedyActions
142,0,6,3,219,41,8,200,36,164
142,1,4,7,217,39,3,200,41,159
142,2,2,3,132,32,5,200,39,161
143,0,3,5,110,34,16,200,41,159
143,1,2,5,401,59,12,200,30,170
143,2,1,4,219,41,8,200,49,151
144,0,6,4,191,37,4,200,36,164
144,1,5,2,277,47,10,200,41,159
144,2,0,6,21,23,8,200,36,164
145,0,6,0,250,42,3,200,40,160
145,1,4,7,310,50,10,200,40,160
145,2,2,8,278,46,7,200,35,165
146,0,1,3,217,39,3,200,34,166
146,1,5,3,223,41,7,200,39,161
146,2,4,9,189,39,10,200,44,156
147,0,5,8,135,33,7,200,44,156
147,1,3,5,85,31,14,200,35,165
147,2,6,0,405,59,11,200,35,165
148,0,7,5,169,35,4,200,39,161
148,1,5,3,298,46,2,200,42,158
148,2,0,6,67,25,2,200,44,156
149,0,1,3,134,34,10,200,48,152
149,1,3,2,233,43,10,200,39,161
149,2,8,1,17,27,20,200,49,151
150,0,9,6,43,25,8,200,33,167
150,1,6,0,79,29,10,200,34,166
150,2,8,6,94,30,9,200,43,157
151,0,6,3,170,38,12,200,36,164
151,1,1,5,48,28,15,200,43,157
151,2,7,3,228,40,3,200,33,167
152,0,9,1,212,40,7,200,30,170
152,1,2,8,220,40,5,200,36,164
152,2,7,4,250,42,3,200,51,149
153,0,0,4,-125,13,17,200,39,161
153,1,0,3,-101,17,22,200,34,166
153,2,6,1,121,31,5,200,44,156
154,0,8,9,176,36,5,200,37,163
154,1,8,3,50,26,9,200,44,156
154,2,4,2,202,38,4,200,40,160
155,0,6,3,200,40,10,200,38,162
155,1,4,5,-18,22,15,200,34,166
155,2,2,9,286,46,5,200,36,164
156,0,8,1,210,38,2,200,38,162
156,1,8,8,124,32,7,200,50,150
156,2,2,7,319,49,5,200,36,164
157,0,1,5,350,50,0,200,36,164
157,1,6,1,38,22,1,200,38,162
157,2,9,4,137,31,1,200,37,163
158,0,6,1,48,24,4,200,29,171
158,1,5,7,161,35,6,200,39,161
158,2,8,2,180,36,4,200,41,159
159,0,9,1,253,43,5,200,49,151
159,1,0,0,135,33,7,200,54,146
159,2,9,6,128,32,6,200,39,161
160,0,4,0,295,45,0,200,37,163
160,1,3,4,108,28,0,200,42,158
160,2,6,0,108,28,0,200,34,166
161,0,5,5,269,43,1,200,46,154
161,1,2,3,304,48,6,200,36,164
161,2,9,4,88,28,5,200,50,150
162,0,7,4,181,35,1,200,54,146
162,1,4,3,248,44,9,200,45,155
162,2,3,9,219,41,8,200,37,163
163,0,5,1,135,33,7,200,48,152
163,1,7,4,168,36,7,200,30,170
163,2,6,7,42,22,0,200,41,159
164,0,3,3,115,29,1,200,38,162
164,1,4,5,283,45,3,200,47,153
164,2,7,7,67,25,2,200,41,159
165,0,5,5,-32,28,35,200,45,155
165,1,6,5,35,29,21,200,38,162
165,2,3,9,-242,10,38,200,41,159
166,0,5,7,295,45,0,200,40,160
166,1,2,1,284,44,0,200,45,155
166,2,1,4,295,45,0,200,41,159
167,0,8,7,-50,18,12,200,39,161
167,1,0,6,77,31,16,200,30,170
167,2,5,5,158,34,4,200,31,169
168,0,0,6,176,36,5,200,50,150
168,1,9,4,220,40,5,200,49,151
168,2,8,9,177,35,2,200,44,156
